priority,channel,query_or_source,why_it_matters,first_message_angle
1,LinkedIn,"launching my SaaS",Founders with immediate launch pain,Offer to generate one free launch kit around their current SaaS
2,LinkedIn,"landing page feedback founder",They already know conversion matters,Offer landing-page hero/pricing critique via launch kit
3,LinkedIn,"AI agency founder",Agencies can buy Pro or use sprint as client deliverable,Position as repeatable client-ready launch audit
4,X/Twitter,"building in public first customer",Founders explicitly trying to sell,Offer 24-hour customer acquisition kit
5,X/Twitter,"MVP is live",Timing trigger for conversion help,Offer outreach and positioning kit
6,Product Hunt,Recent AI/SaaS launches,Launch teams need fast positioning and sales assets,Offer post-launch conversion kit
7,Indie Hackers,"first customer",High-intent audience,Offer free kit and ask for feedback
8,Shopify communities,"retention founder",Ecommerce mode relevance,Offer product/retention launch kit
9,Agency communities,"lead magnet AI agency",Can turn product into agency lead magnet,Offer sample niche-specific kit
10,Founder Slack/Discord,Launch-feedback channels,Allowed direct value exchange,Post concise free-kit offer without spam
